part_of_speech,gloss,target_child_age,corpus_name,speaker_role,age,role
num adv n v v:resc asp v cpt on on n v v v:resc asp n post v v:resc asp n v adj asp n,一 只 皮皮鼠 听 到 了 吓 得 咕噜 咕噜 滚 下来 跌 到 了 床 下面 折 断 了 手臂 摔 破 了 头,66.00135526396846,Zhou2,Mother,66,adult
on,的的的的的的,72.00147846978378,Zhou2,Mother,72,adult
on cleft on,噔 的 噔,60.00123205815314,Zhou2,Target_Child,60,child
v prep post on,放 在 这里 咚咚咚,66.00135526396846,Zhou2,Mother,66,adult
n on nom,眼 汪汪 的,66.00135526396846,Zhou2,Target_Child,66,child
adv adv adv n on v v:resc asp n poss n prep n post v v adv v v:resc asp n,又 一 只 皮皮鼠 砰 摔 到 了 衣橱 的 外面 从 衣橱 里 摔 出来 又 摔 断 了 手臂,66.00135526396846,Zhou2,Mother,66,adult
adj n:name pro v:resc adv adj n post v adv adv on on v asp adv,小 星星 它 掉 在 大 街 上 东张张西望望 然后 就 呜 呜 哭 了 起来,72.00147846978378,Zhou2,Mother,72,adult
on,呜,72.00147846978378,Zhou2,Target_Child,72,child
on,Gagaga,72.00147846978378,Zhou2,Target_Child,72,child
v num cl pro v on,等 一 下 我 拿 嘎,72.00147846978378,Zhou2,Target_Child,72,child
pro prep n post on n v,他们 在 柜子 上面 砰砰砰砰 地 乱跳,66.00135526396846,Zhou2,Mother,66,adult
adv prep n post on v v,又 在 衣橱 上面 砰砰砰砰 乱跳 起来,66.00135526396846,Zhou2,Mother,66,adult
on,啪,72.00147846978378,Zhou2,Mother,72,adult
on,啪,72.00147846978378,Zhou2,Target_Child,72,child
